         268633237 function calls (250394749 primitive calls) in 2069.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.815    4.815 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1031(override_list)
   139990    0.493    0.000    4.788    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\tools\misc.py:91(is_capsule_file)
      430    0.006    0.000    4.753    0.011 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:598(reload)
    67915    1.061    0.000    4.558    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:781(relpath)
    13906    0.075    0.000    4.458    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1139(emit)
     9259    0.030    0.000    4.362    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\handlers.py:71(emit)
     4687    0.074    0.000    4.261    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\abstractview.py:106(wheelEvent)
        2    0.000    0.000    4.081    2.041 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\util.py:197(__call__)
        1    0.000    0.000    4.081    4.081 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
        1    0.000    0.000    4.081    4.081 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:212(_finalize_join)
    72395    2.746    0.000    4.040    0.000 {built-in method nt.stat}
        4    0.001    0.000    3.972    0.993 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:405(wait_result_broken_or_wakeup)
     1670    0.015    0.000    3.971    0.002 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\html_delegate.py:241(editorEvent)
       28    0.002    0.000    3.920    0.140 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1738(sound)
  5236393    3.895    0.000    3.895    0.000 {method 'match' of 're.Pattern' objects}
     9259    0.018    0.000    3.838    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1251(emit)
  3919659    3.723    0.000    3.723    0.000 {method 'split' of 'str' objects}
   139280    0.411    0.000    3.626    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\tools\misc.py:77(is_bif_file)
     1319    0.046    0.000    3.624    0.003 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:1512(info)
        7    0.000    0.000    3.510    0.501 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:209(_modules)
      430    0.012    0.000    3.483    0.008 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:207(resources)
     6184    0.089    0.000    3.417    0.001 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\dlg\tree_view.py:206(mouseMoveEvent)
    28/16    0.002    0.000    3.410    0.213 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editor\base.py:769(play_sound)
    30197    0.213    0.000    3.370    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:471(add_resource)
        1    0.001    0.001    3.155    3.155 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:945(core_resources)
        3    0.002    0.001    3.143    1.048 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:936(chitin_resources)
       20    0.000    0.000    3.140    0.157 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:182(_chitin)
        1    0.005    0.005    3.140    3.140 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:188(_load_chitin)
        2    0.000    0.000    2.868    1.434 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\erf.py:471(open_selected)
        2    0.000    0.000    2.868    1.434 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\erf.py:502(open_in_resource_editor)
